Compounds,crg,delta_S,r,delta_r,mass,delta_mass,specific,delta_specific,vaporization,delta_vaporization,fusion,delta_fusion,electronegativity,delta_electronegativity,density_re,delta_density_re,modulus_re,delta_modulus_re,Tm_re,delta_Tm_re,energy,delta_energy,formation,delta_formation,enthalpy,delta_enthalpy,lambda,delta_lambda,modulus_reo,delta_modulus_reo,Tm_reo,delta_Tm_reo,density_reo,delta_density_reo,CFS,delta_CFS
Lu1Yb1Si1O5,0.0724,8.92544,0.26612,0.30291,47.01212,63.85038,127.25,206.46691,116.75,136.7062,9.9875,14.86009,0.53375,0.5841,2.34262,3.04336,22.375,29.06173,486.9875,542.27801,2.47895,2.62478,-607.3625,692.68347,-575.75,658.20696,0.3,0.33612,50.875,67.65865,819,861.13131,2.655,3.32059,4.12862,7.37938
Lu1.333Yb0.333Tm0.333Si1O5,0.093,9.2863,0.26613,0.30303,46.90524,63.71456,127.49644,206.42041,131.10701,143.34152,10.96193,14.6507,0.547,0.59099,2.59275,3.36248,23.66446,29.12665,552.31375,585.13661,2.4411,2.59809,-619.44018,709.71476,-587.66971,674.98559,0.30283,0.34025,52.52532,70.03905,827.55107,871.92346,2.64086,3.30326,4.12798,7.38012
Lu0.912Yb0.912Tm0.088Er0.088Si1O5,0.114,9.54459,0.26654,0.30352,46.88212,63.6571,127.47,206.41666,116.31,135.13003,10.0645,14.82558,0.53507,0.58474,2.36435,3.06845,22.485,29.05549,493.1486,545.31006,2.48568,2.62909,-608.3965,694.11218,-576.63,659.40405,0.3001,0.3363,50.655,67.30817,818.153,860.0321,2.64015,3.29965,4.12487,7.3808
Lu0.9Yb0.9Tm0.1Er0.1Si1O5,0.068,9.60112,0.2666,0.30361,46.86439,63.63067,127.5,206.40977,116.25,134.91349,10.075,14.82082,0.53525,0.58483,2.36731,3.07183,22.5,29.05458,493.98875,545.71346,2.4866,2.62967,-608.5375,694.30658,-576.75,659.56697,0.30011,0.33632,50.625,67.26015,818.0375,859.88199,2.63812,3.29678,4.12436,7.38099
Lu1Yb0.5Tm0.5Si1O5,0.076,9.64579,0.26669,0.30373,46.75519,63.46774,127.625,206.37592,122.375,137.14621,10.55625,14.6891,0.54313,0.58889,2.5145,3.26138,23.25,29.08971,532.36875,571.11314,2.47459,2.62113,-616.4875,705.45747,-584.5,670.42083,0.30312,0.3406,51.5,68.5016,823.3125,866.36932,2.61937,3.27087,4.12356,7.38128
Yb2Si1O5,7.8,7.48473,0.267,0.30416,46.77187,63.4813,127.25,206.46691,84.875,103.94232,8.2,14.85135,0.5125,0.57178,1.93375,2.32235,20.25,28.70363,381.475,425.55686,2.58246,2.69204,-588.8625,665.38253,-557,630.42634,0.2975,0.33257,47.125,61.5417,801.375,838.25313,2.62375,3.27314,4.1205,7.38234
Tm0.666Yb0.666Lu0.666Si1O5,0.061,9.76547,0.26702,0.30438,46.55802,63.20608,127.74294,206.37338,113.58465,129.71014,10.14866,14.712,0.539,0.58685,2.43396,3.15324,22.82871,29.04936,512.11745,555.57937,2.50678,2.6437,-613.01625,701.05608,-580.83771,665.70619,0.30317,0.3409,50.42511,66.88969,818.47487,860.70583,2.59547,3.23732,4.1192,7.3838
Gd0.4Sc0.4Er0.4Yb0.4Y0.4Si1O5,1.202,10.82995,0.26705,0.30599,35.08143,52.22403,160.1,217.60545,117.275,126.60769,9.525,14.65056,0.5435,0.58951,1.84095,2.4507,23.05,29.15791,511.545,540.04064,2.58349,2.69402,-594.5625,674.28846,-559.75,635.58095,0.31795,0.36458,49.775,66.35175,814.525,855.14992,2.03575,2.6126,4.1394,7.38371
Lu0.8Yb0.8Tm0.2Er0.2Si1O5,0.059,9.96552,0.26708,0.3043,46.71665,63.40963,127.75,206.35212,115.75,133.09357,10.1625,14.7806,0.53675,0.58556,2.392,3.09973,22.625,29.04656,500.99,548.98236,2.49425,2.63452,-609.7125,695.92269,-577.75,660.92172,0.30022,0.33652,50.375,66.85775,817.075,858.62911,2.62125,3.27266,4.1201,7.38259
Lu0.6667Yb0.6667Tm0.6667Si1O5,0.2528,9.76833,0.26717,0.30441,46.59103,63.21543,127.75035,206.34394,113.62702,129.70756,10.15007,14.71003,0.53918,0.58678,2.43558,3.1537,22.83356,29.04495,512.33537,555.57656,2.50769,2.64341,-613.37981,701.12524,-581.18311,665.7726,0.30334,0.34093,50.45999,66.89943,818.895,860.73414,2.59716,3.23775,4.11916,7.38285
Sc0.4Nd0.4Er0.4Yb0.4Lu0.4Si1O5,9.6,10.82995,0.26735,0.30702,38.73407,56.82061,150.4,218.8995,118.025,128.62343,9.91,14.75474,0.543,0.58958,2.06485,2.7862,23.1,29.26745,503.795,540.55442,2.51267,2.64927,-591.9125,671.4746,-556.5,632.16856,0.31695,0.36357,50.025,67.05044,809.175,849.40678,2.24775,2.89953,4.1413,7.38425
Lu0.898Yb0.898Ho0.068Dy0.068Gd0.068Si1O5,0.0461,9.69617,0.26746,0.30494,46.69475,63.39509,128.185,206.38264,116.64375,135.13193,9.93268,14.8332,0.53456,0.5844,2.34798,3.04068,22.37925,29.03117,491.03478,542.11654,2.48397,2.62762,-607.745,693.13207,-575.8775,658.2814,0.30357,0.34193,50.365,66.91624,818.29025,860.19077,2.62555,3.28209,4.11732,7.38386
Gd0.4Sc0.4Ho0.4Er0.4Tm0.4Si1O5,5.1,10.82995,0.26755,0.30671,38.67707,56.48868,153.75,218.18782,116.025,120.99442,10.26,14.49509,0.5515,0.59341,2.1946,2.95623,23.7,29.15397,545.25,558.37618,2.57022,2.68435,-606.2125,691.13899,-570.5,651.34886,0.32245,0.3704,49.525,65.96701,818.225,859.71907,2.17725,2.76259,4.13495,7.3854
Lu0.7Yb0.7Tm0.3Er0.3Si1O5,0.074,10.19512,0.26755,0.30498,46.56891,63.18726,128,206.29397,115.25,131.24533,10.25,14.73943,0.53825,0.58628,2.41669,3.12705,22.75,29.03766,507.99125,552.08764,2.5019,2.63933,-610.8875,697.53183,-578.75,662.27125,0.30034,0.33672,50.125,66.45139,816.1125,857.37264,2.60437,3.24821,4.11584,7.38419
Lu0.6Yb0.6Tm0.6Er0.1Ho0.1Si1O5,0.083,10.3596,0.26784,0.3054,46.43394,62.98324,128.0125,206.28575,113.625,128.63838,10.22375,14.68432,0.53988,0.58707,2.44434,3.15901,22.85,29.02587,515.905,556.17282,2.51039,2.64477,-613.2375,700.85835,-580.9375,665.35513,0.30361,0.34142,50.125,66.39493,817.8875,859.47517,2.58362,3.21821,4.11329,7.38514
Lu0.6Yb0.6Tm0.4Er0.4Si1O5,0.072,10.32429,0.26802,0.30567,46.42118,62.96354,128.25,206.2353,114.75,129.36754,10.3375,14.69729,0.53975,0.58699,2.44137,3.15382,22.875,29.02789,514.9925,555.03207,2.50955,2.64409,-612.0625,699.13406,-579.75,663.61559,0.30045,0.33692,49.875,66.04099,815.15,856.11257,2.5875,3.22344,4.11158,7.38579
Lu0.604Yb0.604Tm0.604Er0.047Ho0.047Dy0.047Gd0.047Si1O5,0.483,10.47226,0.26814,0.30588,46.37019,62.89603,128.4315,206.27802,113.83062,128.86334,10.1265,14.69799,0.53954,0.58688,2.43553,3.14674,22.81962,29.02298,514.24495,554.63467,2.50999,2.64454,-613.19212,700.79943,-580.83375,665.21468,0.30531,0.34419,50.05688,66.31327,817.95262,859.56024,2.57832,3.21227,4.1109,7.38615
Lu0.533Yb0.533Tm0.533Er0.2Ho0.2Si1O5,0.093,10.63824,0.26843,0.30636,46.26266,62.74537,128.27153,206.23961,113.60483,127.5611,10.29685,14.6588,0.5405,0.5874,2.45241,3.16407,22.86436,29.00864,519.38214,556.73402,2.51271,2.64626,-612.93937,700.56153,-580.54382,664.90853,0.30381,0.3419,49.77497,65.87924,816.69971,858.19945,2.56935,3.19826,4.10742,7.38784
Lu0.5Yb0.5Tm0.5Er0.5Si1O5,0.021,10.36614,0.2685,0.30635,46.27344,62.73846,128.5,206.17612,114.25,127.45891,10.425,14.65419,0.54125,0.5877,2.46606,3.18006,23,29.01724,521.99375,557.81817,2.51721,2.6488,-613.2375,700.72942,-580.75,664.95476,0.30056,0.33713,49.625,65.62647,814.1875,854.84888,2.57062,3.19833,4.10731,7.38738
Y0.4Yb1.6Si1O5,19.4,8.52482,0.2686,0.30651,42.56492,59.48608,134.45,206.93259,95.875,116.24586,8.385,14.80237,0.5185,0.57515,1.82885,2.20826,20.75,28.75041,416.83,467.05295,2.58063,2.69065,-589.0125,665.59541,-557.5,631.13932,0.3,0.33623,47.875,62.75229,804.425,842.15468,2.41575,3.07691,4.1066,7.38769
Lu0.466Yb0.466Tm0.466Er0.3Ho0.3Si1O5,0.082,10.78184,0.26903,0.30732,46.09134,62.50579,128.53063,206.19289,113.58465,126.47436,10.36997,14.63264,0.54113,0.58773,2.46048,3.1691,22.87872,28.99138,522.86014,557.25903,2.51503,2.64774,-612.64116,700.26435,-580.15004,664.46119,0.304,0.34238,49.42486,65.35635,815.51163,856.91901,2.55508,3.17808,4.10156,7.39053
Ho0.5Yb0.5Lu0.5Tm0.5Si1O5,2.08,10.36614,0.26919,0.30737,46.12788,62.52692,128.3125,206.21446,113,126.56964,10.24375,14.63368,0.54062,0.58732,2.44912,3.15366,22.75,28.97561,520.55625,556.17051,2.51182,2.64477,-612.8625,700.19578,-580.4375,664.51096,0.3075,0.34707,49.625,65.62647,818.625,860.29678,2.55625,3.17868,4.10163,7.38963
Tm2Si1O5,0.084,7.48473,0.26925,0.30737,45.74412,61.91056,128.75,206.09606,107.375,114.01695,10.475,14.39656,0.55,0.59187,2.62125,3.35096,23.75,28.97669,563,575.85252,2.56504,2.67883,-625.3625,717.45675,-592,680.43222,0.31,0.3502,49.625,65.34014,818.625,859.93513,2.48125,3.05996,4.10025,7.38985
Lu0.1Yb0.1Tm1.6Er0.1Ho0.1Si1O5,0.08,9.1011,0.2694,0.30761,45.79994,62.00301,128.7625,206.09796,108.9375,117.01099,10.4675,14.44845,0.548,0.59091,2.58365,3.30881,23.5375,28.97827,553.91125,571.72889,2.55344,2.67147,-622.2375,713.18238,-589.0625,676.41965,0.30861,0.3484,49.5,65.21671,817.7,858.87578,2.49675,3.08504,4.0991,7.39035
Lu0.2Yb0.2Tm1.2Er0.2Ho0.2Si1O5,0.082,10.03615,0.26955,0.30784,45.85575,62.09524,128.775,206.09985,110.5,119.89722,10.46,14.50016,0.546,0.58993,2.54605,3.26542,23.325,28.97731,544.8225,567.33874,2.54183,2.66402,-619.1125,708.85985,-586.125,672.36228,0.30722,0.34659,49.375,65.09265,816.775,857.8135,2.51225,3.1098,4.09795,7.39085
Yb0.6667Tm0.6667Er0.6667Si1O5,0.096,9.76833,0.26959,0.30788,45.94867,62.23306,128.91706,206.07495,102.79328,114.2386,9.97506,14.65522,0.53667,0.58515,2.37099,3.03796,22.50022,28.93956,498.50152,536.35236,2.56451,2.67855,-609.04631,694.73746,-576.18292,658.37402,0.29992,0.33629,47.9599,62.85175,806.72788,845.09665,2.53216,3.13861,4.0975,7.39094
Lu0.3Yb0.3Tm0.8Er0.3Ho0.3Si1O5,0.159,10.61243,0.2697,0.30808,45.91156,62.18726,128.7875,206.10175,112.0625,122.68326,10.4525,14.55168,0.544,0.58895,2.50845,3.22073,23.1125,28.97383,535.73375,562.67585,2.53023,2.65646,-615.9875,704.48827,-583.1875,668.2593,0.30584,0.34475,49.25,64.96796,815.85,856.74828,2.52775,3.13424,4.0968,7.39135
Lu0.4Yb0.4Tm0.4Er0.4Ho0.4Si1O5,0.231,10.82995,0.26985,0.30831,45.96738,62.27906,128.8,206.10364,113.625,125.37577,10.445,14.603,0.542,0.58794,2.47085,3.17469,22.9,28.96781,526.645,557.73337,2.51863,2.6488,-612.8625,700.06673,-580.25,664.10985,0.30445,0.3429,49.125,64.84264,814.925,855.68011,2.54325,3.15836,4.09565,7.39185
Lu0.5Yb0.5Er0.5Y0.5Si1O5,3.476,10.36614,0.26994,0.30846,41.27169,57.94839,137.125,206.72674,122.375,135.05678,10.0875,14.71318,0.53937,0.58656,2.16306,2.86585,22.75,28.96698,520.80625,556.35113,2.51927,2.65044,-604.3,688.04823,-572.625,653.3944,0.30056,0.33713,49.9375,66.10853,813.6875,854.21031,2.34625,2.99471,4.095,7.39214
Lu0.5Yb0.5Er0.5Ho0.5Si1O5,0.088,10.36614,0.27,0.30855,46.02319,62.37064,128.8125,206.10553,115.1875,127.98067,10.4375,14.65414,0.54,0.58693,2.43325,3.12724,22.6875,28.95925,517.55625,552.50379,2.50703,2.64103,-609.7375,695.59428,-577.3125,659.91307,0.30306,0.34103,49,64.71669,814,854.60897,2.55875,3.18218,4.0945,7.39234
Gd0.7Sc0.35Ho0.3Er0.3Tm0.35Si1O5,7.4,10.69936,0.2702,0.31053,39.08477,56.44484,154.04375,216.2327,117.0375,121.77377,9.96875,14.54321,0.54931,0.59211,2.19072,2.91806,23.4375,29.10409,538.0625,551.50143,2.56957,2.68364,-607.0375,692.19243,-571.4375,652.48902,0.32896,0.37999,48.7875,64.8648,818.84375,860.44562,2.16412,2.72231,4.11113,7.39403
Lu1Ho1Si1O5,0.082,8.92544,0.27025,0.30896,45.99775,62.34863,128.625,206.14434,129.875,137.86465,11.15,14.47777,0.55,0.59196,2.62075,3.36039,23.5,28.99299,568.875,584.22995,2.44989,2.60105,-618.6125,707.92693,-586.375,672.5509,0.31125,0.3524,50.875,67.65865,827.25,871.07984,2.56,3.18768,4.09288,7.39313
Ho0.5Yb0.5Lu0.5Y0.5Si1O5,2.51,10.36614,0.27062,0.30947,41.12612,57.6988,136.9375,206.77768,121.125,134.34077,9.90625,14.68599,0.53875,0.58618,2.14612,2.83358,22.5,28.92177,519.36875,554.69411,2.51388,2.64642,-603.925,687.49682,-572.3125,652.93642,0.3075,0.34707,49.9375,66.10853,818.125,859.66645,2.33187,2.97195,4.08931,7.39438
Yb1Y1Si1O5,1.34,8.92544,0.271,0.30998,36.2545,51.90203,145.25,206.86701,112.375,129.7667,8.6625,14.72152,0.5275,0.57999,1.6715,2.00847,21.5,28.79399,469.8625,515.83055,2.57787,2.68856,-589.2375,665.9145,-558.25,632.20608,0.30375,0.34159,49,64.49903,809,847.93993,2.10375,2.70824,4.08575,7.39563
Lu0.4Yb0.4Er0.4Ho0.4Y0.4Si1O5,4.55,10.82995,0.271,0.30998,41.96598,58.46988,135.7,206.57493,120.125,131.7008,10.175,14.65199,0.5405,0.58704,2.22845,2.93028,22.7,28.9267,525.695,556.57309,2.52028,2.65011,-605.7125,689.93942,-573.75,654.871,0.30445,0.3429,49.375,65.23651,814.525,855.17039,2.36375,2.99392,4.0858,7.39564
Dy0.333Ho0.333Er0.333Tm0.333Yb0.333Lu0.333Si1O5,0.059,11.2051,0.27105,0.31027,45.63134,61.81455,129.07527,206.0655,113.79282,124.41445,10.21112,14.61696,0.54191,0.58794,2.46232,3.1557,22.87034,28.94363,526.94382,554.93879,2.51527,2.64661,-611.93373,699.0869,-578.96412,662.6013,0.30854,0.34931,48.55151,64.01552,811.89647,852.34922,2.53135,3.14193,4.08423,7.39721
Ho0.5Yb0.5Lu0.5Dy0.5Si1O5,2.29,10.36614,0.27137,0.3106,45.72575,61.93836,128.75,206.1182,114.875,127.74709,9.8875,14.69216,0.53875,0.58618,2.40106,3.07659,22.5,28.92177,512.24375,546.53128,2.49648,2.63319,-608.8625,694.33662,-576.0625,658.12465,0.3125,0.35471,48.6875,64.28973,813.75,854.3107,2.55625,3.17868,4.08325,7.39683
Er0.6667Yb0.6667Y0.6667Si1O5,0.177,9.76833,0.27151,0.31066,39.27942,55.47082,140.41749,206.64155,113.62702,126.7505,9.52504,14.70866,0.53417,0.58359,1.96698,2.55049,22.16687,28.86219,496.91813,534.20265,2.56726,2.68063,-597.1292,677.46388,-565.34918,642.59334,0.29992,0.33629,48.37658,63.53898,806.06119,844.22557,2.23298,2.84529,4.08108,7.39725
Er0.4Tm0.4Yb0.4Dy0.4Y0.4Si1O5,5.1,10.82995,0.27235,0.31191,41.54282,57.72893,136.1,206.45565,112.625,122.89931,9.62,14.63406,0.539,0.58609,2.1902,2.8549,22.6,28.88278,516.695,545.10986,2.55407,2.6712,-605.2125,689.20394,-572.5,653.01079,0.30795,0.34827,48.125,63.16724,807.175,845.68642,2.33225,2.93713,4.07405,7.40005
Ho0.5Yb0.5Lu0.5Gd0.5Si1O5,0.85,10.36614,0.273,0.31311,45.39762,61.48194,133.3125,205.90945,116.4375,129.01963,9.81875,14.71769,0.5375,0.58546,2.36044,3.01851,22.3125,28.90173,506.05625,540.43889,2.50968,2.64309,-609.675,695.50399,-577,659.46323,0.31875,0.36542,48.375,63.88189,818.75,860.45494,2.48187,3.0858,4.07094,7.40201
Gd0.2857Dy0.2857Ho0.2857Er0.2857Tm0.2857Yb0.2857Lu0.2857Si1O5,0.061,11.5291,0.2731,0.31314,45.255,61.23033,131.89235,205.88058,114.87294,124.47832,10.00708,14.63541,0.54142,0.58741,2.4356,3.11121,22.74977,28.91012,523.98562,549.65759,2.52186,2.65015,-612.30952,699.15477,-579.12649,662.38252,0.31531,0.36002,48.01629,63.19046,813.24807,853.55366,2.48296,3.07686,4.06893,7.40247
Gd0.7Sc0.2Ho0.3Er0.7Tm0.1Si1O5,9.5,10.39357,0.27332,0.31437,41.32561,57.98505,146.8125,211.83758,117.5125,121.90102,10.13875,14.56471,0.54675,0.59036,2.2968,2.99493,23.1625,28.99091,535.7375,548.76354,2.55867,2.67498,-608.775,694.24402,-574,655.49437,0.32354,0.37331,47.575,62.75931,813.8875,854.24688,2.255,2.81074,4.07723,7.40382
Ho0.5Yb0.5Lu0.5Eu0.5Si1O5,2.4,10.36614,0.27356,0.31401,45.06725,61.04457,129.6875,205.95676,108.3125,125.35337,9.76875,14.73913,0.5375,0.58546,2.19438,2.85616,20.45625,29.63737,475.3625,524.87776,2.4797,2.62194,-599.175,681.33751,-566.0625,644.89347,0.30438,0.34274,48.0625,63.49355,814.375,855.05816,2.34937,2.97987,4.06688,7.40379
Gd0.6667Er0.6667Yb0.6667Si1O5,1.209,9.76833,0.27467,0.31547,44.97497,60.82115,135.58398,205.59215,107.37678,118.44375,9.40837,14.74577,0.53251,0.58261,2.25274,2.84275,21.91686,28.83027,479.16746,512.96513,2.56166,2.67642,-604.79615,688.38116,-571.59942,651.51616,0.31493,0.36167,46.29317,60.32356,806.89455,845.31514,2.43299,3.01053,4.05658,7.40736
Gd0.5Er0.5Yb0.5Y0.5Si1O5,3.96,10.36614,0.27475,0.3155,40.16438,56.00609,142.5,205.94015,115.5,126.28477,9.3375,14.7021,0.535,0.58385,2.04181,2.62495,22.125,28.82555,498.93125,529.78775,2.56453,2.6786,-600.9875,683.01227,-568.5625,647.20798,0.31369,0.35885,47.4375,62.17655,809.3125,848.3705,2.22062,2.7904,4.05519,7.40771
Gd0.6667Yb0.6667Y0.6667Si1O5,3.32,9.76833,0.27551,0.31665,38.44531,53.96003,146.41772,205.79623,115.29375,128.17584,8.70001,14.70068,0.53084,0.58156,1.86989,2.33731,21.66685,28.76874,481.58422,516.39714,2.57079,2.68321,-597.04586,677.33775,-564.9325,641.9646,0.32084,0.36893,47.54322,62.38659,812.39476,852.19293,2.13048,2.67905,4.04966,7.41002
Ho0.5Yb0.5Lu0.5Nd0.5Si1O5,1.05,10.36614,0.27581,0.3177,44.58462,60.44662,130.1875,205.89569,115.1875,127.98067,9.6375,14.8068,0.53375,0.58354,2.30475,2.95012,21.9375,28.9141,487.80625,528.15994,2.47061,2.61648,-597.3,679.02232,-564.1875,642.63136,0.31938,0.36656,47.75,63.12506,807.0625,846.68678,2.47125,3.07441,4.05188,7.41062
